	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_118	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_119	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_121	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_122	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis	
ASV_126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_127	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_129	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_128	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
ASV_130	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Frisingicoccus	
ASV_131	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acutalibacter	
ASV_134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_135	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_133	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_140	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_138	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_141	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_143	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	
ASV_144	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_145	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium	
ASV_146	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_148	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_147	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_149	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_150	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_152	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_151	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	
ASV_153	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_154	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_155	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_156	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_157	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_160	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_159	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_158	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Schaedlerella	
ASV_161	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_162	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_164	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_165	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_167	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_166	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_168	Bacteria						
ASV_169	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_170	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_173	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_171	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_172	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_174	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_176	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_177	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_178	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_180	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_181	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_182	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_184	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_185	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_183	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	
ASV_186	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_187	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_188	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	
ASV_189	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_190	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_192	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_191	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_193	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_195	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_194	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_197	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_196	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
ASV_200	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_198	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_201	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_199	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_203	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_202	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_204	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_205	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_207	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_206	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
ASV_208	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_209	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_211	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_210	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_212	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_213	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	
ASV_215	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_214	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_216	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_217	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_218	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_219	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_221	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_222	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_223	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_225	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_226	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	
ASV_227	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	
ASV_228	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_229	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_231	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_232	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
ASV_234	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_236	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_235	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_237	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_238	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_239	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_240	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	
ASV_241	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_242	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_243	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_245	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_244	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_246	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_247	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_249	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_248	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_250	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_251	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
ASV_252	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_253	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_254	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_256	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_255	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_257	Bacteria						
ASV_258	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_259	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_260	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_261	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_262	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_263	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_264	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_265	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_266	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	
ASV_267	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_268	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_269	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_270	Bacteria	Firmicutes	Clostridia				
ASV_271	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_272	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acutalibacter	
ASV_274	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_275	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_276	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_278	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_279	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_280	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_281	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_282	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_283	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_284	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_285	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Harryflintia	
ASV_286	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_287	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_288	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_290	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_289	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_291	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_293	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_295	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_296	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_297	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_298	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_299	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_300	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_301	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	
ASV_302	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII		
ASV_303	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
ASV_304	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_305	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_307	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_308	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Neglecta	
ASV_309	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_310	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	
ASV_311	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	
ASV_312	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_313	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_314	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_315	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_316	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_317	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_318	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_319	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			
ASV_320	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_321	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_322	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_323	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_324	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_326	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_325	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_327	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_328	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_329	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_330	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_331	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_333	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_332	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_334	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_335	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_336	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_337	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_338	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerotignum	
ASV_340	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_339	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_341	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_342	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_343	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_344	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Amedibacillus	
ASV_345	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
ASV_346	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_348	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_347	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_349	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_350	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_351	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_352	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_353	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_354	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
ASV_356	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Schaedlerella	
ASV_355	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_357	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_359	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_360	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
ASV_358	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_361	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_362	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_363	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_364	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_365	Bacteria	Firmicutes					
ASV_366	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_367	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_368	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_369	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_370	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
ASV_371	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	
ASV_372	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_373	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_374	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_375	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_376	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_377	Bacteria						
ASV_378	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_380	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_379	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_382	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_381	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_383	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_384	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_385	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_386	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
